Date,Open,High,Low,Close,Volume,Chg%
3/9/2020,73.975,74.254,73.85,74.195,6070,0.26%
3/10/2020,74.248,74.248,74.15,74.15,10,-0.06%
3/11/2020,73.792,74.015,73.532,73.682,6530,-0.63%
3/12/2020,74.134,74.579,74.074,74.576,5860,1.21%
3/13/2020,74.561,74.561,73.732,73.84,5260,-0.99%
3/16/2020,74.006,74.359,73.999,74.003,4320,0.22%
3/17/2020,74.073,74.315,73.858,74.062,5210,0.08%
3/18/2020,73.974,74.55,73.924,74.55,5630,0.66%
3/19/2020,74.875,75.312,74.668,74.786,4710,0.32%
3/20/2020,74.825,75.398,74.71,75.398,4980,0.82%
3/23/2020,75.37,76.335,75.37,76.335,2390,1.24%
3/24/2020,76.09,76.385,75.946,76.379,2040,0.06%
3/25/2020,76.375,76.375,76.375,76.375,0,0.00%
3/26/2020,75.885,75.965,74.89,74.89,2330,-1.95%
3/27/2020,74.625,75.533,74.365,75.472,360,0.78%
3/30/2020,75.145,75.675,75.096,75.41,1860,-0.08%
3/31/2020,75.535,75.68,75.28,75.343,2060,-0.09%
4/1/2020,75.32,76.422,75.32,76.404,50,1.41%
4/2/2020,76.386,76.43,76.345,76.4,80,-0.01%
4/3/2020,75.965,76.314,75.783,76.241,2650,-0.21%
4/6/2020,76.24,76.256,75.89,75.975,100,-0.35%
4/7/2020,75.965,75.993,75.521,75.645,1990,-0.43%
4/8/2020,75.625,76.41,75.625,75.945,1770,0.40%
4/9/2020,76.1,76.555,76.016,76.3,2320,0.47%
4/10/2020,75.895,75.935,75.845,75.879,80,-0.55%
4/13/2020,75.879,76.457,75.879,76.249,1960,0.49%
4/14/2020,76.318,76.378,76.015,76.015,320,-0.31%
4/15/2020,76.036,76.654,75.934,76.563,2780,0.72%
4/16/2020,76.625,76.914,76.55,76.805,2430,0.32%
4/17/2020,76.821,76.821,76.242,76.55,2480,-0.33%
4/20/2020,76.55,76.68,76.301,76.575,830,0.03%
4/21/2020,76.59,77.004,76.583,76.975,930,0.52%
4/22/2020,76.93,77.01,76.41,76.41,830,-0.73%
4/23/2020,76.465,76.465,75.824,75.895,2860,-0.67%
4/24/2020,75.962,76.481,75.817,76.27,2770,0.49%
4/27/2020,76.27,76.353,76.019,76.229,2450,-0.05%
4/28/2020,76.124,76.449,75.813,76.065,2520,-0.22%
4/29/2020,76.07,76.109,75.455,75.455,3280,-0.80%
4/30/2020,75.404,75.429,74.909,75.08,3690,-0.50%
5/1/2020,75.319,75.804,75.293,75.749,540,0.89%
5/4/2020,75.75,75.815,75.574,75.64,3440,-0.14%
5/5/2020,75.64,75.868,75.471,75.71,3750,0.09%
5/6/2020,75.805,76.108,75.63,76.105,3510,0.52%
5/7/2020,76.1,76.145,75.773,75.794,480,-0.41%
5/8/2020,75.588,75.645,75.262,75.535,3320,-0.34%
5/11/2020,75.535,75.925,75.45,75.888,5780,0.47%
5/12/2020,75.945,75.967,75.049,75.062,4050,-1.09%
5/13/2020,75.275,75.507,75.048,75.365,3710,0.40%
5/14/2020,75.441,75.699,75.341,75.495,4380,0.17%
5/15/2020,75.51,75.941,75.405,75.83,3560,0.44%
5/18/2020,75.83,76.062,75.632,75.7,3180,-0.17%
5/19/2020,75.61,75.808,75.55,75.645,3770,-0.07%
5/20/2020,75.71,75.87,75.468,75.555,4510,-0.12%
5/21/2020,75.545,75.826,75.398,75.62,3450,0.09%
5/22/2020,75.655,76.023,75.625,75.95,4410,0.44%
5/25/2020,75.95,76.11,75.854,75.887,310,-0.08%
5/26/2020,75.843,75.855,75.407,75.459,1830,-0.56%
5/27/2020,75.547,75.971,75.52,75.92,4510,0.61%
5/28/2020,75.804,75.905,75.634,75.66,5410,-0.34%
5/29/2020,75.7,75.742,75.44,75.605,4310,-0.07%
6/1/2020,75.47,75.775,75.272,75.505,5280,-0.13%
6/2/2020,75.545,75.62,74.973,75.1,6130,-0.54%
6/3/2020,75.05,75.553,75.008,75.325,5410,0.30%
6/4/2020,75.355,75.645,75.337,75.459,4880,0.18%
6/5/2020,75.44,75.727,75.325,75.56,5180,0.13%
6/8/2020,75.56,75.673,75.391,75.4,5430,-0.21%
6/9/2020,75.445,75.706,75.41,75.505,6940,0.14%
6/10/2020,75.511,75.676,75.398,75.634,5340,0.17%
6/11/2020,75.68,75.971,75.58,75.971,5780,0.45%
6/12/2020,75.975,76.24,75.756,76.05,7540,0.10%
6/15/2020,76.05,76.167,75.913,75.979,6950,-0.09%
6/16/2020,75.857,76.313,75.772,76.25,7750,0.36%
6/17/2020,76.26,76.367,76.091,76.29,7240,0.05%
6/18/2020,76.255,76.4,76.048,76.4,7120,0.14%
6/19/2020,76.341,76.365,76.095,76.26,6080,-0.18%
6/22/2020,76.26,76.295,75.73,75.79,6510,-0.62%
6/23/2020,75.782,75.912,75.452,75.503,6080,-0.38%
6/24/2020,75.473,75.769,75.473,75.665,6660,0.22%
6/25/2020,75.717,75.787,75.518,75.587,5960,-0.10%
6/26/2020,75.58,75.679,75.43,75.62,4430,0.04%
6/29/2020,75.62,75.67,75.456,75.51,5430,-0.15%
6/30/2020,75.52,75.633,75.422,75.545,5840,0.05%
7/1/2020,75.525,75.625,75.47,75.49,4350,-0.07%
